p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y,l0x,l0y,l1x,l1y,l2x,l2y,l3x,l3y,l4x,l4y,iteration,execution_time,gps1_lon,gps1_lat,gps1_alt
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,9.0,-7.0,-3759556.0,3061423.0,-3772911.0,3044237.0,-3774080.0,3081675.0,49,11.593430519104004,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,5.0,0.0,-3759561.0,3061424.0,-3772913.0,3044235.0,-3774085.0,3081672.0,49,12.013952255249023,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,7.0,-3.0,-3759559.0,3061420.0,-3772915.0,3044236.0,-3774090.0,3081675.0,49,11.524898767471313,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,10.0,-4.0,-3759560.0,3061423.0,-3772913.0,3044238.0,-3774079.0,3081680.0,49,11.150580644607544,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,2.0,0.0,-3759562.0,3061422.0,-3772911.0,3044238.0,-3774079.0,3081678.0,49,11.218591928482056,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,8.0,-5.0,-3759561.0,3061421.0,-3772905.0,3044238.0,-3774081.0,3081677.0,49,11.581152200698853,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,6.0,-1.0,-3759563.0,3061422.0,-3772911.0,3044241.0,-3774075.0,3081681.0,49,10.997389793395996,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,0.0,0.0,-3759562.0,3061421.0,-3772911.0,3044240.0,-3774078.0,3081678.0,49,10.398670434951782,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,8.0,1.0,-3759561.0,3061420.0,-3772916.0,3044236.0,-3774086.0,3081673.0,49,12.259475231170654,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,-8.0,-6.0,-3759557.0,3061423.0,-3772905.0,3044242.0,-3774082.0,3081679.0,49,11.15250563621521,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,1.0,-2.0,-3759556.0,3061422.0,-3772907.0,3044241.0,-3774076.0,3081679.0,49,11.582836389541626,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,2.0,-3.0,-3759559.0,3061420.0,-3772909.0,3044237.0,-3774078.0,3081676.0,49,11.390142440795898,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,0.0,0.0,-3759564.0,3061421.0,-3772909.0,3044236.0,-3774082.0,3081676.0,49,10.474105834960938,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,0.0,-1.0,-3759558.0,3061423.0,-3772914.0,3044238.0,-3774082.0,3081672.0,49,11.308168411254883,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,4.0,0.0,-3759562.0,3061422.0,-3772913.0,3044239.0,-3774085.0,3081677.0,49,10.676405429840088,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,4.0,-4.0,-3759558.0,3061421.0,-3772907.0,3044240.0,-3774078.0,3081681.0,49,10.934118032455444,142.1962,-36.7189,30000.0
-3810370,3152299,2,2,-3759557,3061426,-3772905,3044245,-3774075,3081680,-3810370.0,3152299.0,3.0,0.0,-3759561.0,3061420.0,-3772911.0,3044239.0,-3774085.0,3081675.0,49,11.790581703186035,142.1962,-36.7189,30000.0
